"","iterations","CPLEX_time","SAT_calls","verdict","inst_num","cores_len","CPU","best_UB","solved_by","GREEDY_time","MEM_MB","CPLEX_pop_time","solver","SAT_time","interrupted_by","cores","solution","instance","best_LB","k","num_obj_in_core","cores_obj","CPLEX_seeded"
"1",1,3e-04,301,"OPTIMUM FOUND",38,8.428571,52.3519,NA,"CPLEX model.",0,79,0,"Base",52.1827,"",7,63,"rnd9.csv",NA,8,NA,NA,NA
"2",1,5e-04,118,"OPTIMUM FOUND",3,10,7.542,NA,"abstract CPLEX model.",0,80,0,"Base",7.3917,"",2,22,"rnd41.csv",NA,9,NA,NA,NA
"3",2,0.0027,853,"OPTIMUM FOUND",12,3.258065,0.1604,NA,"CPLEX model.",1e-04,40,0,"Base",0.1143,"",155,705,"rnd51.csv",NA,1,NA,NA,NA
"4",4,0.082,7106,"OPTIMUM FOUND",14,82.060403,886.3874,NA,"abstract CPLEX model.",0.0061,186,0,"Base",885.5638,"",149,101,"rnd42.csv",NA,8,NA,NA,NA
"5",0,0,2,"OPTIMUM FOUND",37,0,0.0528,NA,"disjoint phase.",0,46,0,"Base",9e-04,"",0,585,"rnd60.csv",NA,2,NA,NA,NA
"6",0,0,2,"OPTIMUM FOUND",17,0,0.0587,NA,"disjoint phase.",0,41,0,"Base",7e-04,"",0,869,"rnd57.csv",NA,1,NA,NA,NA
"7",1,0.0013,66,"OPTIMUM FOUND",49,3.166667,0.1021,NA,"CPLEX model.",0,52,0,"Base",0.0401,"",6,389,"rnd21.csv",NA,3,NA,NA,NA
"8",4,8.5437,7895,"OPTIMUM FOUND",32,49.136364,830.5001,NA,"abstract CPLEX model.",0.0032,180,0,"Base",821.2178,"",176,67,"rnd10.csv",NA,8,NA,NA,NA
"9",2,0.013,2714,"OPTIMUM FOUND",39,28.647887,273.4657,NA,"CPLEX model.",5e-04,112,0,"Base",273.2924,"",71,70,"rnd33.csv",NA,8,NA,NA,NA
"10",1,0,970,"OPTIMUM FOUND",56,16.210526,75.2045,NA,"concrete greedy soln.",1e-04,82,0,"Base",75.0401,"",19,63,"rnd55.csv",NA,8,NA,NA,NA
