"","instance","solver","X.nodes","cores_len","SAT_time","verdict","best_LB","solved_by","SAT_calls","interrupted_by","CPLEX_seeded","solution","CPU","CPLEX_pop_time","X.edges","iterations","inst_num.x","MEM_MB","CPLEX_time","best_UB","cores","GREEDY_time","num_obj_in_core","cores_obj","inst_num.y","wat","Dataset","inst_num"
"1","20.dtl.graph","Hybrid",13,4.723333,2.888,"OPTIMUM FOUND",NA,"LB >= UB.",2405,"",NA,5,2.905,0,30,2,261,44,0.0011,NA,300,0.001,1.0667,180,261,"","Real-World graphs",NA
"2","20.dtl.graph","Base",13,1,0.009,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","",5,0.0181,0,30,1,261,36,7e-04,NA,1,0,NA,NA,261,"","Real-World graphs",NA
"3","20.dtl.graph","Base(IP)",13,1,0.0092,"OPTIMUM FOUND",NA,"LB >= UB.",3,"","seeded",5,0.0386,0,30,1,261,39,0.0177,NA,1,0,NA,NA,261,"","Real-World graphs",NA
"4","aes_24_4_keyfind_5.gaifman_4.gr","Hybrid",154,5.272542,3562.8705,"UNKNOWN",13,"",39650,"INTERRUPTED signal 15",NA,51,3588.5764,0,874,17,302,1819,1.1274,51,4913,0.0124,1.0064,23868,302,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"5","aes_24_4_keyfind_5.gaifman_4.gr","Base",154,1.153846,3576.8083,"UNKNOWN",18,"",26,"INTERRUPTED signal 15","",47,3588.4446,0,874,3,302,1453,0.0044,47,13,0,NA,NA,302,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"6","aes_24_4_keyfind_5.gaifman_4.gr","Base(IP)",154,1,141.749,"UNKNOWN",11,"",14,"INTERRUPTED signal 15","seeded",47,3586.8032,0,874,1,302,7642,105.7668,47,11,0,NA,NA,302,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"7","AhrensSzekeresGeneralizedQuadrangleGraph_3.gr","Hybrid",27,7.252667,3599.3548,"UNKNOWN",10,"",18346,"INTERRUPTED signal 15",NA,19,3599.6512,0,135,6,15,237,0.0693,19,1500,0.011,1.0345,754,15,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"8","AhrensSzekeresGeneralizedQuadrangleGraph_3.gr","Base",27,1.153846,3598.9736,"UNKNOWN",16,"",29,"INTERRUPTED signal 15","",17,3599.0315,4e-04,135,5,15,292,0.0028,17,13,0,NA,NA,15,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"9","AhrensSzekeresGeneralizedQuadrangleGraph_3.gr","Base(IP)",27,1,89.034,"UNKNOWN",8,"",12,"INTERRUPTED signal 15","seeded",23,3599.3031,0,135,1,15,1029,100.0051,23,8,0,NA,NA,15,"Maximum CPU time exceeded: sending SIGTERM then SIGKILL
","Real-World graphs",NA
"10","alarm.net.graph","Hybrid",37,3.208333,2.3442,"OPTIMUM FOUND",NA,"LB >= UB.",3160,"",NA,4,2.4458,0,65,3,171,65,0.0094,NA,600,0.0038,1.0256,1404,171,"","Real-World graphs",NA
